Tweet Id,Tweet text,Company,timestamp,,,Text Blob,,Vader,,,,Clips pattern,
,,,GMT,EST,IST,polarity,subjectivity,neg,neu,pos,compound,polarity,subjectivity
1068534969751010000,rt : oh boy falcon at twilight was such an incredible show! here's my single exposure of 's saocoma launch from...,spacex,30-11-2018 15:59,30-11-2018 10:59,30-11-2018 21:29,0.30952381,0.538095238,0,1,0,0,0.30952381,0.538095238
1068536085376990000, nasa opens $ billion in contract services for moon to mars missions the agency has selected to compete fo...,spacex,30-11-2018 16:03,30-11-2018 11:03,30-11-2018 21:33,0,0,0,1,0,0,0,0
1068536238511080000,rt :  nasa opens $ billion in contract services for moon to mars missions the agency has selected to compete for $ bi...,spacex,30-11-2018 16:04,30-11-2018 11:04,30-11-2018 21:34,0,0,0,1,0,0,0,0
1068537377763740000,rt : come join me at this tuesday for the falcon launch! hope to see you guys there! (video credit:...,spacex,30-11-2018 16:08,30-11-2018 11:08,30-11-2018 21:38,0,0,0,0.749,0.251,0.6892,0,0
1068554965000560000,the spacex booster for the crs launch is still vertical on the pad still awaiting word on the static fire...,spacex,30-11-2018 17:18,30-11-2018 12:18,30-11-2018 22:48,0.5,0.9,0,1,0,0,0.5,0.9
1068555142285480000,hey instead of slapping wrist (like everyone else) grow a set and drug test himlight the rainbow $tslaq spacex PILLPILLSYRINGESYRINGEBILLIARDSBILLIARDS,spacex,30-11-2018 17:19,30-11-2018 12:19,30-11-2018 22:49,0,0,0,1,0,0,0,0
1068555239756830000,rt : these are the top features that make the rivian rt and rs spectacular off-road electric vehicles AUTOMOBILEBATTERY tesla spacex...,spacex,30-11-2018 17:19,30-11-2018 12:19,30-11-2018 22:49,0.55,0.7,0,0.913,0.087,0.2023,0.55,0.7
1068555395021570000,iridium-: net updated from december :: utc to tbd spacex spacextimemachine iridium,spacex,30-11-2018 17:20,30-11-2018 12:20,30-11-2018 22:50,0,0,0,1,0,0,0,0
1068555395776600000,iridium-: status updated from upcoming to tbd spacex spacextimemachine iridium,spacex,30-11-2018 17:20,30-11-2018 12:20,30-11-2018 22:50,0,0,0,1,0,0,0,0
1068556029733020000,rt : the spacex booster for the crs launch is still vertical on the pad still awaiting word on the static fire falcon ht...,spacex,30-11-2018 17:23,30-11-2018 12:23,30-11-2018 22:53,0.5,0.9,0.098,0.902,0,-0.34,0.5,0.9
