CSCO,Cisco Systems Inc,2015-02-12,Wall St. ends sharply higher on tech  Ukraine deal ,NEW YORK U.S. stocks ended sharply higher on Thursday  with a rally in technology stocks leading the Nasdaq to a 15-year high  while a ceasefire agreement between Russia and Ukraine also eased tensions.,topStory
CSCO,Cisco Systems Inc,2015-02-12,US STOCKS-Wall St ends sharply higher on tech  Ukraine deal ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to close),normal
CSCO,Cisco Systems Inc,2015-02-12,US STOCKS-Tech rally  Ukraine deal boost Wall Street ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to afternoon trading),normal
CSCO,Cisco Systems Inc,2015-02-12,US STOCKS-Wall St climbs on Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.24 pct  S&P 0.55 pct  Nasdaq 0.68 pct   (Updates to late morning),normal
CSCO,Cisco Systems Inc,2015-02-12,US STOCKS-Wall St rises after Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.21 pct  S&P 0.46 pct  Nasdaq 0.65 pct   (Updates to market open  adds data),normal
CSCO,Cisco Systems Inc,2015-02-12,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
CSCO,Cisco Systems Inc,2015-02-12,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
CSCO,Cisco Systems Inc,2015-02-12,US STOCKS SNAPSHOT-Wall St opens up on Ukraine  Sweden; Cisco rallies ,NEW YORK  Feb 12 U.S. stocks opened higher on Thursday  following a ceasefire agreement between Russia and Ukraine and stimulus measures by Sweden's central bank that took markets by surprise.,normal
CSCO,Cisco Systems Inc,2015-02-12,US STOCKS-Futures gain after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stock index futures advanced on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank.,normal
CSCO,Cisco Systems Inc,2015-02-12,Robust switching sales power strong quarter for Cisco ,Network equipment maker Cisco Systems Inc  reported stronger-than-expected quarterly revenue and profit as demand for switching equipment and routers helped make up for weak spending by the company's traditional telecom customers. | Video ,normal
